213;205;0;15;1440;1351716;0
213;205;0;47;1440;1351725;0
213;205;0;68;1440;1351734;0
213;205;0;84;1420;1351743;0
214;205;0;88;1440;1351752;0
214;205;0;97;1430;1351761;0
220;210;0;936;1520;1366789;1
220;210;0;937;1540;1366798;1
220;210;0;941;1520;1366807;1
221;210;0;942;1520;1366816;1
221;210;0;944;1530;1366825;1
221;210;0;952;1520;1366834;1
221;210;0;945;1530;1366843;1
222;210;0;952;1530;1366852;1
222;210;0;957;1520;1366861;1
223;211;0;953;1550;1366870;1
223;211;0;958;1560;1366879;1
223;211;0;960;1570;1366888;1
249;247;397;0;1560;1391327;2
249;247;385;0;1560;1391336;2
249;247;385;0;1540;1391345;2
249;247;369;0;1530;1391354;2
249;247;369;0;1540;1391363;2
249;247;369;0;1540;1391372;2
249;247;369;0;1540;1391381;2
249;247;353;0;1550;1391390;2
250;247;341;0;1550;1391399;2